Facility Information,,,,,,,,,,,,,,, Capacity ,,Population,,,,ADP: Fiscal Year,,,,,,,,,,ADP - Monthly,,,,,,,,,,,,,Facility Average Length of Stay,,,,Facility Bookins,,,,Initial Bookins,,,,ADP: Initial Bookins,,,,ADP: Criminality,,,,,,,,FY18 ADP: Detainee Classification Level,,,,FY18 ADP: Criminality and Gender,,,,FY18 ADP: ICE Threat Level,,,,FY18 ADP: Mandatory Detention,,Medical,,Contract,,,,,,,Standards Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility Statistics - FY 2018,,,,Facility Statistics - FY 2017,,,
DETLOC,Name,Address,City,County,State,Zip,Circuit,AOR,Docket,Type,Type Detailed,ICE Funded,Male/Female,"Levels A,B,C,D",Capacity,Current FY Utilization,Population Count,Date of Last Use,Date of First Use,FY18 Max Population Count,FY18 ADP,FY17 ADP,FY16 ADP,FY15 ADP,FY14 ADP,FY13 ADP,FY12 ADP,FY11 ADP,FY10 ADP,FY09 ADP,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,FY18 ALOS,FY17 ALOS,FY16 ALOS,FY15 ALOS,FY18 Facility Bookins,FY17 Facility Bookins,FY16 Facility Bookins,FY15 Facility Bookins,FY18 Initial Bookins,FY17 Initial Bookins,FY16 Initial Bookins,FY15 Initial Bookins,FY18 Initial Bookin ADP,FY17 Initial Bookin ADP,FY16 Initial Bookin ADP,FY15 Initial Bookin ADP,FY18 Non-Criminal,FY18 Criminal,FY17 Non-Criminal,FY17 Criminal,FY16 Non-Criminal,FY16 Criminal,FY15 Non-Criminal,FY15 Criminal,Level A,Level B,Level C,Level D,Male Crim,Male Non-Crim,Female Crim,Female Non-Crim,ICE Threat Level 1,ICE Threat Level 2,ICE Threat Level 3,No ICE Threat Level,Mandatory,Non-Mandatory,Medical Provider Onsite?,Provider Type,Facility Operator,Facility Owner,Best Known Contract Initiation Date,Best Known Contract Expiration Date,Guaranteed Minimum,Per Diem Rate Detailed,ICE Telephone Services,Authorization Status,Authorizing Authority,Over/Under 72,Contractually Obligated Inspection Standard,PREA/Standard 2.11 Status,Current Inspection Frequency,Last Inspection Type,Last Inspection Standard,Last Inspection Pre-Occ?,Last Inspection Rating - Final,Last Inspection Rating - Recommended,Last Inspection Date,Second to Last Inspection Type,Second to Last Inspection Standard,Second to Last Inspection Pre-Occ?,Second to Last Rating,Second to Last Inspection Date,Next Inspection Date,Next Inspection Standard,Next Inspection Type,Next Insp Pre-Occ?,CY17 Rating,CY16 Rating,CY15 RATING,CY14 RATING,CY13 RATING,CY12 RATING,CY11 RATING,CY10 RATING,EMDD Notes,EMDD USE,ACA,NCCHC,JCHCO,DSM Assigned?,DSM Assignment Type,FY18 Calendar Days in Use,FY18 Possible Days,FY18 % of Days in Use,FY18 Total Mandays,FY17 Calendar Days in Use,FY17 % of Days in Use,FY17 Total Mandays,FY17 Max Pop Count
PLATTMO,PLATTE COUNTY DETENTION CENTER,415 THIRD STREET,PLATTE CITY,PLATTE,MO,64079,8,CHI,KAN,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,21,11/4/17,1/22/92,21,17,16,1,0,0,0,0,0,1,1,12,18,19,20,14,12,11,18,19,18,17,16,20,23,20,2,1,27,263,139,56,22,235,108,47,23,27,13,4,9,8,4,12,0,1,0,0,5,4,5,3,7,5,1,3,3,2,3,9,7,10,YES,COUNTY,COUNTY (SHERIFF),COUNTY,2/12/09,,,$77.90,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,NDS,,Annual,Regular,NDS,No,Acceptable,Acceptable,12/15/16,Regular,NDS,Yes,Special Review - Pre-Occupancy,8/25/16,11/14/17,NDS,Regular,No,,Acceptable,Acceptable,,,,Acceptable,Superior,2009 DEFICIENT,Yes,NO,NO,NO,No,,35,400,9%,"6,743",372,102%,"5,779",24
PLATTWY,PLATTE COUNTY JAIL,850 MAPLE STREET,WHEATLAND,PLATTE,WY,82201,10,DEN,DEN,USMS IGA,USMS IGA,Yes,Male,"B, C, D",AS NEEDED,,3,11/4/17,4/4/00,5,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2,2,2,2,1,9,45,53,23,1,9,12,6,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,,COUNTY (SHERIFF),COUNTY,12/4/07,,,$63.00,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Under 72,NDS,,Annual,ORSA,NDS,No,Acceptable,,9/8/17,ORSA,NDS,No,Acceptable,7/11/14,,NDS,ORSA,No,Acceptable,,,Acceptable,Acceptable,,,Superior,2008 DEFICIENT,Yes,NO,NO,NO,No,NONE,10,400,3%,240,61,17%,90,5
PLATTNE,PLATTE COUNTY JAIL (NEBRASKA),1125 17TH STREET EAST,COLUMBUS,PLATTE,NE,68601,8,SPM,OMA,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,3/6/01,10/28/96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
PLYMOMA,PLYMOUTH COUNTY CORRECTIONAL FACILITY,26 LONG POND ROAD,PLYMOUTH,PLYMOUTH,MA,02360,1,BOS,BOS,IGSA,IGSA,Yes,Male,"A, B, C, D",AS NEEDED,,235,11/4/17,4/1/94,249,233,115,86,61,123,220,297,299,274,216,112,105,98,96,98,107,102,109,101,169,186,232,242,62,61,69,73,244,746,430,327,130,433,248,175,136,96,61,54,105,128,53,63,39,47,13,49,74,27,60,72,127,105,1,0,80,28,20,105,142,90,YES,COUNTY,COUNTY (SHERIFF),COUNTY,9/22/08,9/21/18,,$93.82,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,NDS,,Annual,Regular,NDS,No,Acceptable,Acceptable,6/22/17,Regular,NDS,No,Acceptable,6/16/16,,NDS,Regular,No,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Superior,,No,YES,NO,NO,Yes,PERMANENT,35,400,9%,"93,074",372,102%,"42,033",233
PTCOULA,POINTE COUPEE PARISH DETENTION CENTER,10933 CAJUNII ROAD HWY 981,NEW ROADS,POINTE COUPEE,LA,70760,5,NOL,OAK,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,5/4/05,10/24/88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
POLKCTX,POLK COUNTY ADULT DETENTION FACILITY,3400 FM 350 SOUTH,LIVINGSTON,POLK,TX,77351,5,HOU,HOU,IGSA,IGSA,Yes,Male,"A, B, C, D","1,054",41%,560,11/4/17,5/16/06,590,431,581,563,289,594,513,774,734,836,864,961,982,936,907,759,538,208,105,107,211,346,414,569,21,44,40,36,623,"4,587","5,235","3,215",1,3,4,2,2,1,0,2,230,201,453,128,436,128,130,159,231,69,70,61,200,230,1,0,61,46,95,230,273,159,YES,M&TC,M&TC,COUNTY,7/25/07,,,b)(4),Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,ACA accreditation only,PREA,Annual,Regular,NDS,No,Acceptable,Acceptable,1/6/17,Regular,NDS,No,Acceptable,1/7/16,,NDS,Regular,No,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Superior,,No,YES,NO,NO,Yes,PERMANENT,35,400,9%,"172,571",372,102%,"212,070","1,027"
POLKJFL,POLK COUNTY JAIL,2390 BOB PHILIPS ROAD,BARTOW,POLK,FL,33830,11,MIA,TAM,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,10/26/05,10/2/98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
POLKCMN,POLK COUNTY JAIL,BOX 416,CROOKSTON,POLK,MN,56716,8,SPM,SPM,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,1/6/04,9/15/93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
POLKJIA,POLK COUNTY JAIL,1985 NE 51ST PLACE,DES MOINES,POLK,IA,50313,8,SPM,OMA,USMS IGA,USMS IGA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,28,11/4/17,4/21/92,53,41,23,3,1,14,23,46,57,43,48,6,15,12,13,25,24,32,34,31,39,41,43,28,20,20,11,9,58,368,96,41,40,200,66,40,39,21,6,5,11,30,6,17,0,3,0,1,7,12,15,8,28,11,2,0,11,9,10,11,25,16,YES,COUNTY,COUNTY (SHERIFF),COUNTY,5/10/16,,,$105.00,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,Local Standards,,Annual,ORSA,NDS,No,Acceptable,,9/21/17,ORSA,NDS,No,Acceptable,8/1/16,,NDS,ORSA,No,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,Superior,2007 and 2008 DEFICIENT,No,YES,NO,NO,No,NONE,35,400,9%,"16,400",372,102%,"8,553",47
BOPPOL,POLLOCK US PENITENTIARY,"1000 AIR BASE ROAD, PO BOX 1000",POLLOCK,GRANT,LA,71467,5,NOL,OAK,BOP,BOP,No,Female/Male,"A, B, C, D",AS NEEDED,,0,4/4/07,4/28/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,BOP,,,,,Not ICE Funded,,NOT INSPECTED,BOP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
POMONCA,POMONA CITY JAIL,490 WEST MISSION BOULEVARD,POMONA,LOS ANGELES,CA,91766,9,LOS,SBD,USMS IGA,USMS IGA,Yes,Male,"B, C, D",AS NEEDED,,0,3/5/17,5/30/08,0,0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,,CITY,CITY,10/31/02,,,$75.00,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Under 72,NDS,,N/A,ORSA,NDS,No,Acceptable,,7/13/15,ORSA,NDS,No,Acceptable,8/14/14,,N/A,N/A,No,,,Acceptable,Acceptable,Acceptable,,Acceptable,Superior,2008 and 2009 DEFICIENT,Yes,NO,NO,NO,No,NONE,0,400,0%,0,4,1%,9,4
PONDEMT,PONDERA COUNTY JAIL,20 4TH AVENUE SOUTHWEST,CONRAD,PONDERA,MT,59425,9,SLC,HEL,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,10/12/10,12/1/90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
PIC,PORT ISABEL,27991 BUENA VISTA BOULEVARD,LOS FRESNOS,CAMERON,TX,78566,5,SNA,PIC,SPC,SPC,Yes,Female/Male,"A, B, C, D","1,175",93%,"1,160",11/4/17,4/13/85,"1,166","1,094","1,003","1,104","1,008",992,"1,087","1,133",913,719,617,"1,131","1,074","1,075",998,"1,111","1,068",960,799,822,806,"1,092","1,088","1,134",13,8,6,5,"4,926","49,608","64,263","67,865","1,645","21,050","30,566","33,811","1,739","2,539","2,944","2,247",938,156,838,165,898,206,812,197,"1,015",35,20,24,143,833,13,104,56,38,61,939,950,144,YES,IHSC,AHTNA (GUARD),ICE,7/10/08,5/31/22,800,b)(4),Talton Full Service,AUTHORIZED,DMCP,Over 72,PBNDS 2011,PREA,Annual,Regular,PBNDS 2011,No,Meets Standard,Meets Standard,2/2/17,Regular,PBNDS 2011,No,Meets Standard,2/4/16,,PBNDS 2011,Regular,No,Meets Standard,Meets Standard,Meets Standard,Meets Standard,Meets Standard,Meets Standard,Meets Standard,Meets Standard,,No,YES,YES,NO,Yes,PERMANENT,35,400,9%,"437,429",369,101%,"366,163","1,244"
POOHOLD,PORTLAND DISTRICT OFFICE,1111 SOUTHWEST 2ND AVENUE,PORTLAND,MULTNOMAH,OR,97204,9,SEA,POO,Other,HOLD,Yes,Male,"B, C, D",AS NEEDED,,0,11/2/17,11/13/95,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,232,"1,174","1,240","1,265",172,895,868,853,186,241,233,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FEDERAL,,,,,,,NOT INSPECTED,DMCP,Under 72,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,1,400,0%,23,7,2%,3,2
POMHOLD,PORTLAND MAINE HOLD ROOM,511 NORTHWEST BROADWAY,PORTLAND,CUMBERLAND,ME,04101,1,BOS,POM,Other,HOLD,Yes,Male,"A, B, C, D",AS NEEDED,,0,2/1/16,6/22/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,2,4,16,16,2,3,16,15,3,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NOT INSPECTED,DMCP,Under 72,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
PORTSVA,PORTSMOUTH CITY JAIL,701 CRAWFORD STREET,PORTSMOUTH,NORFOLK,VA,23704,4,WAS,VRK,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,10/6/06,8/15/90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,CITY,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
POTTAIA,POTTAWATTAMIE COUNTY JAIL,1400 BIG LAKE ROAD,COUNCIL BLUFFS,POTTAWATTAMIE,IA,51501,8,SPM,OMA,USMS IGA,USMS IGA,Yes,Male,"A, B, C, D",10,97%,8,11/4/17,11/29/95,12,10,15,12,6,12,7,18,26,38,44,18,21,15,18,17,14,10,12,9,12,17,10,8,77,65,55,47,15,113,47,51,13,99,19,26,10,12,2,3,0,10,5,10,10,2,0,6,0,3,4,3,10,0,0,0,4,3,3,0,6,4,YES,COUNTY,COUNTY (SHERIFF),COUNTY,1/8/97,,,$79.26,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,NDS,,Annual,Regular,NDS,No,Acceptable,Acceptable,4/13/17,ORSA,NDS,No,Acceptable,8/11/16,,NDS,Regular,No,Acceptable,Acceptable,,Acceptable,,Acceptable,Acceptable,Superior,,Yes,NO,NO,NO,No,NONE,35,400,9%,"3,874",372,102%,"5,405",24
POWDRMT,POWDER RIVER COUNTY JAIL,114 N PARK AVENUE,BROADUS,POWDER RIVER,MT,59317,9,SLC,,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
POWERID,POWER COUNTY JAIL,550 GIFFORD STREET,AMERICAN FALLS,POWER,ID,83211,9,SLC,HEL,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,6/24/91,6/24/91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
PRLDCTX,PRAIRIELAND DETENTION FACILITY,1209 SUNFLOWER LN,ALVARADO,JOHNSON,TX,76009,5,DAL,PRL,IGSA,DIGSA,Yes,Female/Male,"A, B, C, D",707,84%,600,11/4/17,1/17/17,655,595,326,0,0,0,0,0,0,0,0,0,0,63,269,456,455,448,458,561,607,596,596,588,55,17,,,729,"6,111",0,0,29,163,0,0,43,5,0,0,161,434,75,251,0,0,0,0,204,143,148,101,385,140,49,21,182,100,152,162,374,221,YES,"LaSalle Management Company, LLC",LASALLE CORRECTIONS,CITY,2/24/15,2/23/20,525,b)(4),Talton Full Service,AUTHORIZED,DMCP,Over 72,PBNDS 2011,PREA,Annual,Regular,PBNDS 2011,No,Meets Standard,Meets Standard,4/20/17,Regular,PBNDS 2011,Yes,Special Review - Pre-Occupancy,12/8/16,,PBNDS 2011,Regular,No,Meets Standard,Special Review - Pre-Occupancy,,,,,,,,No,NO,NO,NO,No,,35,400,9%,"238,080",264,72%,"118,999",650
PRLHOLD,PRAIRIELAND SUBOFFICE HOLD ROOM,1209 SUNFLOWER LN,ALVARADO,JOHNSON,TX,76009,5,DAL,,Other,HOLD,Yes,Female/Male,,AS NEEDED,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,10,71,0,0,8,68,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NOT INSPECTED,DMCP,Under 72,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,,,,No,,0,400,0%,0,0,0%,0,0
PRESITX,PRESIDIO COUNTY JAIL,310 NORTH HIGHLAND STREET,MARFA,PRESIDIO,TX,79843,5,ELP,EPC,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,9/17/11,10/31/96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,$50.00,,NOT INSPECTED,DMCP,Under 72,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
PWILLVA,PRINCE WILLIAM COUNTY CORRECTIONAL FACILITY,9320 LEE AVENUE,MANASSAS,MANASSAS CITY,VA,20110,4,WAS,WAS,USMS IGA,USMS IGA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,10/10/17,12/7/91,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,3,21,35,1,1,13,15,1,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,RAPPAHANNOCK CREATIVE HEALTH,COUNTY (CORRECTIONS),COUNTY,7/27/83,,,$84.63,,AUTHORIZED,DMCP,Under 72,FPBDS,,Annual,ORSA,NDS,No,Acceptable,,9/27/17,ORSA,NDS,No,Acceptable,9/22/16,,NDS,ORSA,No,Acceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,Superior,2008 DEFICIENT,Yes,NO,NO,NO,No,NONE,1,400,0%,11,8,2%,43,7
PRUHOLD,PROVO HOLD ROOM,3075 NORTH MAIN,SPANISH FORK,UTAH,UT,84660,10,SLC,SLC,Other,HOLD,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,22,203,102,125,22,202,101,124,29,22,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NOT INSPECTED,DMCP,Under 72,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
PROWECO,PROWERS COUNTY JAIL,103 EAST OAK STREET,LAMAR,PROWERS,CO,81052,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,3/10/10,3/6/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
PUEBLCO,PUEBLO COUNTY JAIL,909 COURT STREET,PUEBLO,PUEBLO,CO,81003,10,DEN,DEN,USMS IGA,USMS IGA,Yes,Female/Male,"A, B, C, D",25,0%,0,3/27/14,10/22/90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,,COUNTY (SHERIFF),COUNTY,8/1/82,,,$48.50,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Under 72,NDS,,N/A,ORSA,NDS,No,Acceptable,,8/14/14,ORSA,NDS,No,Acceptable,8/7/13,,N/A,N/A,No,,,,Acceptable,Acceptable,,,Superior,2008 and 2009 DEFICIENT,Yes,NO,YES,NO,No,NONE,0,400,0%,0,0,0%,0,0
PUEHOLD,PUEBLO HOLDROOM,935 STATE HIGHWAY 67,FLORENCE,FREMONT,CO,81226,10,DEN,DEN,Other,HOLD,Yes,Female/Male,"B, C, D",AS NEEDED,,0,6/7/17,9/1/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,39,332,278,443,39,307,278,443,44,32,29,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NOT INSPECTED,DMCP,Under 72,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,2,1%,2,1
PULASKY,PULASKI COUNTY DETENTION CENTER,300 HAIL KNOB ROAD,SOMERSET,PULASKI,KY,42503,6,CHI,CHI,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,1/13/06,10/19/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,$76.00,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
PULASIL,PULASKI COUNTY JAIL,1026 SHAWNEE COLLEGE ROAD,ULLIN,PULASKI,IL,62992,7,CHI,CHI,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,172,11/4/17,2/26/16,184,171,191,102,0,0,0,0,0,0,0,172,187,190,199,210,203,193,194,181,192,178,171,170,33,25,19,,477,"2,827","1,709",0,110,582,300,0,114,93,36,0,48,123,48,142,31,71,0,0,49,36,42,44,116,41,7,6,52,34,36,49,116,55,YES,COUNTY,COUNTY,COUNTY,12/29/10,,,$92.00,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,PBNDS 2011,PREA,Annual,Regular,PBNDS 2011,No,Meets Standard,Meets Standard,3/2/17,Regular,PBNDS 2011,No,Meets Standard,2/25/16,,PBNDS 2011,Regular,No,Meets Standard,Meets Standard,,,,,,,,No,NO,YES,NO,Yes,PERMANENT,35,400,9%,"68,343",372,102%,"69,552",266
QLTYGCO,QUALITY INN,2650 GILSTRIP COURT,GLENWOOD SPRINGS,GARFIELD,CO,81647,10,DEN,DEN,Other,Other,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,4/8/07,4/8/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,HOTEL,,,,,,,NOT INSPECTED,OTHER,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
QLTYSCA,QUALITY SUITES,2351 OTAY MESA DRIVE,CALIPATRIA,SAN DIEGO,CA,92154,9,SND,SND,Other,Other,Yes,Female/Male,"A, B",AS NEEDED,,69,11/4/17,3/17/14,120,74,22,17,6,3,0,0,0,0,0,29,15,18,11,7,7,9,11,16,48,72,75,71,1,1,1,1,"1,146","7,993","6,170","2,267",132,"1,075",331,178,134,33,4,1,74,0,22,0,17,0,6,0,61,13,0,0,0,26,0,49,0,0,0,74,45,29,,,HOTEL,,,,,,,NOT INSPECTED,OTHER,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,,,,No,,35,400,9%,"29,794",372,102%,"7,996",169
