DETLOC,fullA.x,ObjectId,x,y,Name,City,County,State,Zip,Circuit,AOR,Docket,Type,Type.Detailed,ICE.Funded,Male.Female,Capacity,Current.FY.Utilization,Population.Count,Date.of.Last.Use,Date.of.First.Use,FirstYear,FY18.Max.Population.Count,FY18.Non.Criminal,FY18.Criminal,FY17.Non.Criminal,FY17.Criminal,FY16.Non.Criminal,FY16.Criminal,FY15.Non.Criminal,FY15.Criminal,Male.Crim,Male.Non.Crim,Female.Crim,Female.Non.Crim,Mandatory,Non.Mandatory,Medical.Provider.Onsite.,Provider.Type,Facility.Operator,Facility.Owner,Best.Known.Contract.Initiation.Date,Best.Known.Contract.Expiration.Date,YearExpiration,Guaranteed.Minimum,Per.Diem.Rate.Detailed,ICE.Telephone.Services,Authorization.Status,Authorizing.Authority,Over.Under.72,Contractually.Obligated.Inspection.Standard,PREA.Standard.2.11.Status,Last.Inspection.Pre.Occ.,Last.Inspection.Rating...Final,Last.Inspection.Rating...Recommended,Last.Inspection.Date,CY17.Rating,EMDD.Notes,EMDD.USE,ACA,NCCHC,JCHCO,DSM.Assigned.,DSM.Assignment.Type,FY18.Calendar.Days.in.Use,FY18.Possible.Days,FY18...of.Days.in.Use,FY18.Total.Mandays,FY17.Calendar.Days.in.Use,FY17...of.Days.in.Use,FY17.Total.Mandays,FY17.Max.Pop.Count,capacity
GUDOCHG,203 ASPINALL AVENUE HAGATNA GU,386,144.75012,13.47438,DEPARTMENT OF CORRECTIONS HAGATNA ,HAGATNA,GUAM,GU,96910,9,SFR,AGA,USMS IGA,USMS IGA,Yes,Male,0,,16,11/4/17,5/21/09,2009,20,2,15,1,11,0,3,2,4,15,2,0,0,16,1,YES,,FEDERAL,,10/1/02,NA,#VALUE!,NA,$75.00 ,,NOT INSPECTED,DMCP,Over 72,Local Standards,,No,,,,,,No,NO,NO,NO,No,,35,400,9%,"6,903",372,102%,"4,575",21,1
GUNNICO,200 NORTH IOWA GUNNISON CO,561,-106.9255726,38.54559734,GUNNISON COUNTY JAIL,GUNNISON,GUNNISON,CO,81230,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,4/13/08,4/6/99,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
GWINNGA,2900 UNIVERSITY PARKWAY LAWRENCEVILLE GA,562,-83.97400996,33.98176999,GWINNETT COUNTY JAIL,LAWRENCEVILLE,GWINNETT,GA,30043,11,ATL,ATL,IGSA,IGSA,Yes,Female/Male,0,,0,12/30/09,10/8/08,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HAILEID,1115 ALBANY CALDWELL ID,354,-116.680253,43.664596,DALE G. HAILE DETENTION CENTER,CALDWELL,CANYON,ID,83605,9,SLC,BOI,IGSA,IGSA,Yes,Male,0,,0,10/29/17,7/16/93,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,COUNTY,COUNTY (SHERIFF),COUNTY,2/25/92,NA,#VALUE!,NA,$54.00 ,,AUTHORIZED,DMCP,Over 72,Local Standards,,No,Acceptable,,9/5/17,Acceptable,2007 DEFICIENT,No,NO,NO,NO,No,NONE,8,400,2%,91,47,13%,56,3,1
HAJUVTX,2250 CLOVIS R BARKER ROAD SAN MARCOS TX,585,-97.945799,29.83220899,HAYS COUNTY JUVENILE CENTER,SAN MARCOS,HAYS,TX,78666,5,SNA,SNA,IGSA,JUVENILE,Yes,Female/Male,0,,0,8/28/03,10/9/01,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,JFRMU,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HALLJGA,1700 BARBER ROAD GAINESVILLE GA,565,-83.812991,34.238836,HALL COUNTY JAIL,GAINESVILLE,HALL,GA,30507,11,ATL,ATL,USMS IGA,USMS IGA,Yes,Male,0,,1,11/4/17,6/27/95,1995,7,0,2,1,2,0,2,0,1,2,0,0,0,1,1,YES,COMPREHENSIVE NURSING,COUNTY (SHERIFF),COUNTY,11/6/07,NA,#VALUE!,NA,$53.00 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Under 72,FPBDS,,No,Acceptable,,9/15/17,Acceptable,,No,NO,NO,NO,No,NONE,28,400,7%,846,288,79%,938,12,1
HAMILKS,103 WEST AVE B SYRACUSE KS,567,-101.7529,37.98171036,HAMILTON COUNTY JAIL,SYRACUSE,HAMILTON,KS,67878,10,CHI,KAN,IGSA,IGSA,Yes,Female/Male,0,,0,10/8/02,4/24/00,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HAMILTN,1600 EAST 3RD STREET CHATTANOOGA TN,566,-85.27636702,35.04153202,HAMILTON COUNTY,CHATTANOOGA,HAMILTON,TN,37404,6,NOL,NOL,IGSA,IGSA,Yes,Female/Male,0,,0,3/3/08,2/21/97,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Over 72,,,No,Superior,Acceptable,3/6/07,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HAMPDMA,627 RANDALL ROAD LUDLOW MA,568,-72.51193615,42.20319484,HAMPDEN COUNTY,LUDLOW,HAMPDEN,MA,1056,1,BOS,HAR,IGSA,IGSA,Yes,Female/Male,0,,0,1/6/03,12/19/95,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HANCOME,60 STATE STREET ELLSWORTH ME,571,-68.42515,44.54307,HANCOCK COUNTY JAIL,ELLSWORTH,HANCOCK,ME,4605,1,BOS,POM,IGSA,IGSA,Yes,Female/Male,0,,0,8/6/07,5/30/02,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HANCOMS,122 1/2 COURT STREET BAY ST. LOUIS MS,570,-89.32787528,30.31013428,HANCOCK COUNTY JAIL,BAY ST. LOUIS,HANCOCK,MS,39520,5,NOL,NOL,IGSA,IGSA,Yes,Female/Male,0,,0,8/15/05,4/11/87,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HANMNPA,BRAOD & VINE STREETS PHILADELPHIA PA,563,-75.16602039,39.95856074,HAHNEMANN HOPSITAL,PHILADELPHIA,PHILADELPHIA,PA,19107,3,PHI,PHI,Other,HOSPITAL,No,Female/Male,0,,0,6/7/06,6/7/06,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,HOSPITAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HARDJIA,1116 14TH AVENUE ELDORA IA,572,-93.09747997,42.35992,HARDIN COUNTY JAIL,ELDORA,HARDIN,IA,50627,8,SPM,OMA,IGSA,IGSA,Yes,Female/Male,0,,78,11/4/17,9/17/97,1997,84,11,57,20,46,18,27,1,23,55,10,1,1,42,25,YES,COUNTY,COUNTY (SHERIFF),COUNTY,4/30/09,NA,#VALUE!,NA,$70.00 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,NDS,Standard 2.11,No,Acceptable,Acceptable,9/28/17,Acceptable,,Yes,NO,NO,NO,No,NONE,35,400,9%,"26,926",372,102%,"24,332",84,1
HARFOCT,177 WESTON STREET HARTFORD CT,581,-72.66037951,41.79232412,HARTFORD CORRECTIONAL CENTER,HARTFORD,HARTFORD,CT,6120,2,BOS,HAR,IGSA,IGSA,Yes,Female/Male,0,,0,3/25/07,3/3/94,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,CITY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Over 72,,,No,Superior,Good,3/30/06,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HARHOLD,450 MAIN STREET HARTFORD CT,582,-72.67425104,41.76128598,HARTFORD OFFICE,HARTFORD,HARTFORD,CT,6103,2,BOS,HAR,Other,HOLD,Yes,Female/Male,0,,0,7/25/17,2/16/93,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,99,27%,122,3,1
HARLANE,706 WEST 2ND STREET ALMA NE,573,-99.36233344,40.09943605,HARLAN COUNTY JAIL,ALMA,HARLAN,NE,68920,8,SPM,OMA,IGSA,IGSA,Yes,Female/Male,0,,0,10/3/02,7/14/99,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HARPEKS,115 EAST STEADMAN STREET ANTHONY KS,577,-98.02930103,37.15348601,HARPER COUNTY JAIL,ANTHONY,HARPER,KS,67003,10,CHI,KAN,IGSA,IGSA,Yes,Female/Male,0,,0,1/27/03,1/25/91,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HARRIGA,"HWY 116 E, PO BOX 286 HAMILTON GA",578,-84.7786415,32.79584406,HARRIS COUNTY JAIL,HAMILTON,HARRIS,GA,31811,11,ATL,ATL,IGSA,IGSA,Yes,Female/Male,0,,0,1/24/07,7/26/93,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Over 72,,,No,Superior,Deficient,4/5/07,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HASHENE,110 PUBLIC SAFETY DRIVE GRAND ISLAND NE,564,-98.32785997,40.92691002,HALL COUNTY DEPARTMENT OF CORRECTIONS,GRAND ISLAND,HALL,NE,68801,8,SPM,OMA,IGSA,IGSA,Yes,Male,0,,77,11/4/17,2/4/92,1992,92,14,64,11,48,4,10,0,10,60,14,4,0,54,24,YES,COUNTY,COUNTY (SHERIFF),COUNTY,12/3/08,NA,#VALUE!,NA,$63.01 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,NDS,Standard 2.11,No,Acceptable,Acceptable,7/20/17,Acceptable,,No,NO,NO,NO,No,NONE,35,400,9%,"30,937",372,102%,"21,741",108,1
HASKLTX,118 COUNTY ROAD 206 HASKELL TX,1116,-99.72179998,33.17676899,ROLLING PLAINS DETENTION CENTER,HASKELL,HASKELL,TX,79521,5,DAL,DAL,IGSA,IGSA,Yes,Female/Male,525,0%,0,3/23/17,6/18/00,2000,0,0,0,23,150,122,368,157,284,0,0,0,0,0,0,YES,CITY,LASALLE CORRECTIONS,CITY,7/19/02,2/11/19,2019,NA,b)(4),Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Over 72,PBNDS 2011,,No,Meets Standard,Meets Standard,2/9/17,Meets Standard,,No,NO,NO,NO,No,NONE,0,400,0%,0,171,47%,"62,971",520,525
HAYCOTX,C/O JAIL ADMINISTRATOR SAN MARCOS TX,584,-97.92818,29.88608,HAYS COUNTY JAIL,SAN MARCOS,HAYS,TX,78666,5,SNA,SNA,IGSA,IGSA,Yes,Female/Male,0,,0,8/6/07,11/1/90,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HBGHOLD,UNAVAILABLE HARRISONBURG VA,580,-78.8697,38.45163,HARRISONBURG HOLD ROOM,HARRISONBURG,HARRISONBURG,VA,22801,4,WAS,WAS,Other,HOLD,Yes,Female/Male,0,,0,9/18/17,7/27/11,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,2,1%,2,1,1
HCPSYTX,2800 S MACGREGOR WAY HOUSTON TX,579,-95.37434904,29.71223399,HARRIS COUNTY PSYCHIATRIC CENTER,HOUSTON,HARRIS,TX,77021,5,HOU,,Other,HOSPITAL,No,Female/Male,0,,1,11/4/17,10/19/16,2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,,,,No,,23,400,6%,297,57,16%,57,1,1
HEADCMN,525 PORTLAND AVENUE SOUTH MINNEAPOLIS MN,591,-93.26262256,44.97506378,HENNEPIN COUNTY ADULT DETENTION CENTER,MINNEAPOLIS,HENNEPIN,MN,55415,8,SPM,SPM,IGSA,IGSA,Yes,Female/Male,0,,0,7/13/03,7/29/98,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HELHOLD,805 COLLEEN STREET HELENA MT,586,-111.973782,46.59389301,HELENA DISTRICT CUSTODY,HELENA,LEWIS AND CLARK,MT,59601,9,SLC,HEL,Other,HOLD,Yes,Female/Male,0,,0,7/6/15,7/9/97,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HENDENC,375 1ST AVENUE EAST HENDERSONVILLE NC,587,-82.45632274,35.3148779,HENDERSON COUNTY DETENTION FACILITY,HENDERSONVILLE,HENDERSON,NC,28792,4,ATL,CLT,IGSA,IGSA,Yes,Female/Male,0,,0,12/29/14,9/19/08,2008,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,YES,SOUTHERN HEALTH PARTNERS,COUNTY (SHERIFF),COUNTY,9/15/08,NA,#VALUE!,NA,$71.96 ,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Over 72,NDS,Standard 2.11,No,Acceptable,Acceptable,9/19/13,,2009 DEFICIENT,Yes,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HENDENV,18 E BASIC ROAD HENDERSON NV,588,-114.9785157,36.03077537,HENDERSON DETENTION CENTER,HENDERSON,CLARK,NV,89015,9,SLC,LVG,USMS IGA,USMS IGA,Yes,Female/Male,300,82%,233,11/4/17,2/4/11,2011,261,45,200,38,208,19,221,6,217,180,38,21,7,110,136,YES,CITY,CITY,CITY,9/21/09,NA,#VALUE!,NA,$106.00 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,FPBDS,,No,Acceptable,Acceptable,7/20/17,Acceptable,,Yes,NO,NO,NO,Yes,PERMANENT,35,400,9%,"98,137",372,102%,"89,554",290,300
HENDRFL,101 SOUTH BRIDGE STREET LABELLE FL,590,-81.43672003,26.76047001,HENDRY COUNTY JAIL,LABELLE,HENDRY,FL,33935,11,MIA,KRO,IGSA,IGSA,Yes,Female/Male,0,,0,2/4/08,4/20/99,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HENHOLD,518 6TH AVE W HENDERSONVILLE NC,589,-82.46788598,35.31868899,HENDERSONVILLE HOLD ROOM,HENDERSONVILLE,HENDERSON,NC,28792,4,ATL,CLT,Other,HOLD,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,,,,No,,0,400,0%,0,0,0%,0,0,1
HENRIVA,P.O.BOX 27796 RICHMOND VA,592,-77.43367,37.54068,HENRICO COUNTY JAIL,RICHMOND,RICHMOND CITY,VA,23261,4,WAS,WAS,IGSA,IGSA,Yes,Female/Male,0,,0,7/1/07,8/25/89,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HENRYGA,120 HENRY PARKWAY MCDONOUGH GA,593,-84.16853298,33.42300802,HENRY COUNTY SHERIFF,MCDONOUGH,HENRY,GA,30253,11,ATL,ATL,IGSA,IGSA,Yes,Female/Male,0,,0,6/23/94,2/2/92,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HERKINY,BOX 709 HERKIMER NY,594,-74.98433,43.0259,HERKIMER COUNTY JAIL,HERKIMER,HERKIMER,NY,13350,2,BUF,BUF,IGSA,IGSA,Yes,Female/Male,0,,0,5/25/05,11/17/87,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HERNAFL,16425 SPRING HILL DRIVE BROOKSVILLE FL,596,-82.45173103,28.48379501,HERNANDO COUNTY JAIL,BROOKSVILLE,HERNANDO,FL,34604,11,MIA,TAM,IGSA,IGSA,Yes,Female/Male,0,,0,10/29/09,10/31/97,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,CCA,,NA,NA,#VALUE!,NA,b)(4),,NOT INSPECTED,DMCP,Over 72,,,No,Superior,Acceptable,1/8/09,,,No,YES,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HHWHOLD,595 ALA MOANA BLVD HONOLULU HI,630,-157.863909,21.299932,INS DISTRICT OFFICE,HONOLULU,HONOLULU,HI,96813,9,SFR,HHW,Other,HOLD,Yes,Female/Male,0,,0,9/12/17,7/17/92,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,14,4%,14,1,1
HICOJFL,1201 NORTH ORIENT ROAD TAMPA FL,601,-82.371321,27.958637,HILLSBOROUGH COUNTY JAIL,TAMPA,HILLSBOROUGH,FL,33619,11,MIA,TAM,IGSA,IGSA,Yes,Female/Male,0,,0,2/25/09,10/21/93,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,$65.48 ,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Acceptable,2/11/09,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HIDALNM,83 OLD HIGHWAY 70 LORDSBURG NM,597,-108.66623,32.33758999,HIDALGO COUNTY DETENTION FACILITY,LORDSBURG,HIDALGO,NM,88045,10,ELP,ELP,IGSA,IGSA,Yes,Female/Male,0,,0,1/29/17,4/29/15,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Over 72,NDS,,No,Acceptable,Acceptable,8/20/15,,,No,,,,No,,0,400,0%,0,31,8%,31,1,1
HIDALTX,3100 SOUTH HWY 281 EDINBURG TX,598,-98.17061409,26.27372289,HIDALGO COUNTY JAIL,EDINBURG,HIDALGO,TX,78539,5,SNA,HLG,IGSA,IGSA,Yes,Female/Male,0,,0,10/25/17,8/8/88,1988,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,NO,,COUNTY,COUNTY,11/9/12,NA,#VALUE!,NA,$60.00 ,,NOT INSPECTED,DMCP,Under 72,FPBDS,,No,,,,,,No,NO,NO,NO,No,,14,400,4%,160,0,0%,0,0,1
HILLCMT,1450 2ND STREET WEST HAVRE MT,600,-109.70718,48.55295001,HILL COUNTY DETENTION CENTER,HAVRE,HILL,MT,59501,9,SLC,HEL,USMS IGA,USMS IGA,Yes,Female/Male,3,0%,0,12/22/14,5/13/02,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,,COUNTY (SHERIFF),COUNTY,7/1/02,NA,#VALUE!,NA,$60.00 ,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Under 72,,,No,Acceptable,At-Risk,3/15/11,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,3
HILLSNH,445 WILLOW STREET MANCHESTER NH,602,-71.46122897,42.98080701,HILLSBOROUGH COUNTY JAIL,MANCHESTER,HILLSBOROUGH,NH,3103,1,BOS,BOS,IGSA,IGSA,Yes,Female/Male,0,,0,1/28/00,6/6/90,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HLGHOLD,1717 ZOY STREET HARLINGEN TX,574,-97.71415999,26.17792699,HARLINGEN HOLD ROOM,HARLINGEN,CAMERON,TX,78550,5,SNA,HLG,Other,HOLD,Yes,Female/Male,0,,0,10/30/17,5/15/08,2008,1,0,0,1,0,4,0,2,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,2,400,1%,23,148,41%,296,5,1
HLYCHIL,2701 W 68TH ST CHICAGO IL,605,-87.69079551,41.76995201,HOLY CROSS HOSPITAL,CHICAGO,COOK,IL,60629,7,CHI,,Other,HOSPITAL,No,Female/Male,0,,0,1/5/17,4/8/16,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,,,,No,,0,400,0%,0,2,1%,2,1,1
HMCHOTX,5501 S EXPRESSWAY 71 HARLINGEN TX,575,-97.69555,26.18986,HARLINGEN MEDICAL CENTER,HARLINGEN,CAMERON,TX,78550,5,SNA,PIC,Other,HOSPITAL,No,Female/Male,0,,1,11/4/17,3/20/89,1989,1,0,1,0,0,1,0,2,1,1,0,0,0,1,0,,,HOSPITAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,NO,NO,NO,No,,31,400,8%,354,41,11%,44,2,1
HOKLYTX,1310 AVENUE H LEVELLAND TX,603,-102.378794,33.578301,HOCKLEY COUNTY JAIL,LEVELLAND,HOCKLEY,TX,79336,5,ELP,EPC,IGSA,IGSA,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HOLINNY,14402 135TH AVENUE JAMAICA NY,604,-73.79586099,40.66773001,HOLIDAY INN,JAMAICA,QUEENS,NY,11436,2,NYC,VRK,Other,Other,Yes,Female/Male,0,,0,7/8/03,7/23/97,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,HOTEL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HOSPSPR,1462 ASIA ST PO BOX 11137 SAN JUAN PR,610,-66.10473,18.46633,HOSPITAL PAVIA-SANTURCE,SAN JUAN,SAN JUAN,PR,909,1,MIA,,Other,HOSPITAL,No,Female/Male,0,,0,6/30/17,4/13/16,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,,,,No,,0,400,0%,0,3,1%,3,1,1
HOTELMA,225 MCCLELLAN HIGHWAY EAST BOSTON MA,1069,-71.0165602,42.3872567,RAMADA HOTEL,EAST BOSTON,SUFFOLK,MA,2128,1,BOS,BOS,Other,Other,Yes,Female/Male,0,,0,3/10/17,5/4/99,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,HOTEL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,2,1%,2,1,1
HOTSPWY,417 ARAPAHOE STREET THERMOPOLIS WY,611,-108.2090262,43.6471817,HOT SPRINGS COUNTY JAIL,THERMOPOLIS,HOT SPRINGS,WY,82443,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,3/31/08,3/31/08,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
HOUHOLD,5520 GREENS RD. HOUSTON TX,613,-95.31223823,29.95203557,HOUSTON FIELD OFFICE HOLD ROOM,HOUSTON,HARRIS,TX,77032,5,HOU,HOU,Other,HOLD,Yes,Male,0,,1,11/4/17,11/17/94,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,5,400,1%,57,62,17%,95,12,1
HOUICDF,15850 EXPORT PLAZA DRIVE HOUSTON TX,612,-95.31221701,29.95053301,HOUSTON CONTRACT DETENTION FACILITY,HOUSTON,HARRIS,TX,77032,5,HOU,HOU,CDF,CDF,Yes,Female/Male,"1,000",93%,932,11/4/17,7/21/86,1986,979,284,647,226,706,256,660,300,560,585,224,62,60,643,289,YES,IHSC,CCA,CCA,4/1/09,NA,#VALUE!,750,b)(4),Talton Full Service,AUTHORIZED,DMCP,Over 72,PBNDS 2011,PREA,No,Meets Standard,Meets Standard,1/12/17,Meets Standard,,No,YES,YES,NO,Yes,PERMANENT,35,400,9%,"372,594",372,102%,"340,063","1,131",1000
HOWARMD,7301 WATERLOO ROAD JESSUP MD,614,-76.78182599,39.16922702,HOWARD COUNTY DETENTION CENTER,JESSUP,HOWARD,MD,20794,4,BAL,BAL,IGSA,IGSA,Yes,Male,0,,93,11/4/17,11/25/87,1987,95,27,61,18,51,29,31,10,39,61,27,0,0,59,29,YES,COUNTY,COUNTY (CORRECTIONS),COUNTY,10/2/95,NA,#VALUE!,NA,$90.00 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,PBNDS 2011,PREA,No,Meets Standard,Meets Standard,12/15/16,,2008 DEFICIENT,No,NO,NO,NO,Yes,PERMANENT,35,400,9%,"35,143",372,102%,"25,268",96,1
