DETLOC,fullA.x,ObjectId,x,y,Name,City,County,State,Zip,Circuit,AOR,Docket,Type,Type.Detailed,ICE.Funded,Male.Female,Capacity,Current.FY.Utilization,Population.Count,Date.of.Last.Use,Date.of.First.Use,FirstYear,FY18.Max.Population.Count,Mandatory,Non.Mandatory,Medical.Provider.Onsite.,Provider.Type,Facility.Operator,Facility.Owner,Best.Known.Contract.Initiation.Date,Best.Known.Contract.Expiration.Date,YearExpiration,Guaranteed.Minimum,Per.Diem.Rate.Detailed,ICE.Telephone.Services,Authorization.Status,Authorizing.Authority,Over.Under.72,Contractually.Obligated.Inspection.Standard,PREA.Standard.2.11.Status,Last.Inspection.Pre.Occ.,Last.Inspection.Rating...Final,Last.Inspection.Rating...Recommended,Last.Inspection.Date,CY17.Rating,EMDD.Notes,EMDD.USE,ACA,NCCHC,JCHCO,DSM.Assigned.,DSM.Assignment.Type,FY18.Calendar.Days.in.Use
KINCOWA,500 5TH AVE SEATTLE WA,686,-122.32842,47.60377898,KING COUNTY ADULT JAIL,SEATTLE,KING,WA,98104,9,SEA,SEA,IGSA,IGSA,Yes,Female/Male,0,,0,3/16/04,9/21/97,1997,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
KINGMKS,120 SPRUCE STREET KINGMAN KS,687,-98.11172258,37.64224866,KINGMAN COUNTY JAIL,KINGMAN,KINGMAN,KS,67068,10,CHI,KAN,IGSA,IGSA,Yes,Female/Male,0,,0,8/15/04,3/23/95,1995,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
KINNETX,109 NORTH STREET BRACKETTVILLE TX,689,-100.41788,29.31149998,KINNEY COUNTY DETENTION CENTER,BRACKETTVILLE,KINNEY,TX,78832,5,SNA,DLR,IGSA,IGSA,Yes,Female/Male,0,,0,11/12/13,3/5/99,1999,0,0,0,,,CEC,,NA,NA,#VALUE!,NA,b)(4),,NOT INSPECTED,DMCP,Over 72,,,No,Superior,Acceptable,5/29/08,,,No,NO,NO,NO,No,,0
KITCACO,251 16TH STREET RM.302 BURLINGTON CO,690,-102.27087,39.30304,KIT CARSON COUNTY,BURLINGTON,KIT CARSON,CO,80807,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,9/25/07,3/21/91,1991,0,0,0,,,CCA,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
KITTIWA,205 WEST 5TH AVENUE ELLENSBURG WA,691,-120.54939,46.99700002,KITTITAS COUNTY JAIL,ELLENSBURG,KITTITAS,WA,98926,9,SEA,SEA,IGSA,IGSA,Yes,Female/Male,0,,0,1/19/12,11/26/08,2008,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
KLAMCOR,3201 VANDENBERG AVENUE KLAMATH FALLS OR,692,-121.7506187,42.22201204,KLAMATH COUNTY JAIL,KLAMATH FALLS,KLAMATH,OR,97603,9,SEA,MED,IGSA,IGSA,Yes,Female/Male,0,,0,10/17/13,6/14/91,1991,0,0,0,YES,COUNTY,COUNTY (SHERIFF),,9/20/99,NA,#VALUE!,NA,$63.00 ,,NOT INSPECTED,DMCP,Under 72,,,No,Acceptable,At-Risk,11/16/11,,,No,NO,NO,NO,No,,0
KNXHOLD,UNAVAILABLE KNOXVILLE TN,693,-83.92103,35.96068,KNOXVILLE HOLD ROOM,KNOXVILLE,KNOX,TN,37920,6,NOL,KNX,Other,HOLD,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
KODIAAK,217 LOWER MILL BAY ROAD KODIAK AK,694,-152.4052621,57.79138597,KODIAK CITY JAIL,KODIAK,KODIAK ISLAND,AK,99615,9,SEA,ANC,IGSA,IGSA,Yes,Female/Male,0,,0,9/16/14,4/18/92,1992,0,0,0,,,CITY,,NA,NA,#VALUE!,NA,$150.00 ,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Deficient,8/5/08,,2008 DEFICIENT,No,NO,NO,NO,No,,0
KOOTEID,5500 NORTH GOVERNMENT WAY COEUR D'ALENE ID,695,-116.78543,47.72109,KOOTENAI COUNTY,COEUR D'ALENE,KOOTENAI,ID,83815,9,SLC,HEL,IGSA,IGSA,Yes,Female/Male,0,,0,8/31/09,1/23/03,2003,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
KOSSUIA,121 WEST STATE STREET ALGONA IA,696,-94.23876997,43.06854998,KOSSUTH COUNTY JAIL,ALGONA,KOSSUTH,IA,50511,8,SPM,OMA,IGSA,IGSA,Yes,Female/Male,0,,0,11/19/02,2/28/00,2000,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
KRHUBFL,CONCOURSE E SATELLITMIAMI INTERNATIONAL MIAMI FL,699,-80.19773,25.77481,KROME/MIAMI HUB,MIAMI,MIAMI-DADE,FL,33299,11,MIA,KRO,Other,HOLD,Yes,Female/Male,0,,0,10/19/17,4/4/08,2008,3,0,0,,,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,6
KRNRCTX,FM 1144 AT US HIGHWAY 181 KARNES CITY TX,669,-97.91036995,28.88542006,KARNES COUNTY RESIDENTIAL CENTER,KARNES CITY,KARNES,TX,78118,5,SNA,KCD,IGSA,FAMILY,Yes,Female/Male,830,66%,574,11/4/17,5/30/14,2014,660,547,3,YES,GEO,GEO,COUNTY,NA,NA,#VALUE!,830,b)(4),,AUTHORIZED,JFRMU,Over 72,ICE Family Residential Standards,PREA,No,,,,,,No,,,,No,,35
KRO,18201 SOUTHWEST 12TH STREET MIAMI FL,698,-80.49056903,25.754769,KROME NORTH SERVICE PROCESSING CENTER,MIAMI,MIAMI-DADE,FL,33194,11,MIA,KRO,SPC,SPC,Yes,Male,611,0%,0,9/10/17,11/3/83,1983,0,0,0,YES,IHSC,AGS,ICE,5/1/14,4/30/24,2024,450,b)(4),Talton Full Service,AUTHORIZED,DMCP,Over 72,PBNDS 2011,PREA,No,Meets Standard,Meets Standard,4/6/17,Meets Standard,,No,YES,YES,NO,Yes,PERMANENT,0
KROHOLD,18201 SW 12TH ST MIAMI FL,697,-80.49056903,25.754769,KROME HOLD ROOM,MIAMI,DADE,FL,33194,11,MIA,,Other,HOLD,Yes,Female/Male,0,,0,11/1/17,7/10/17,2017,2,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,,,,No,,7
LACKAPA,1371 NORTH WASHINGTON AVENUE SCRANTON PA,703,-75.64816797,41.42271699,LACKAWANNA COUNTY JAIL,SCRANTON,LACKAWANNA,PA,18509,3,PHI,PKE,USMS IGA,USMS IGA,Yes,Female/Male,150,0%,0,5/18/16,9/11/87,1987,0,0,0,,,COUNTY,,5/1/00,NA,#VALUE!,NA,$75.00 ,,NOT INSPECTED,DMCP,Over 72,,,No,Acceptable,Acceptable,3/15/11,,,No,NO,NO,NO,No,,0
LAFAYLA,916 LAFAYETTE STREET LAFAYETTE LA,704,-92.02140504,30.223515,LAFAYETTE PARISH CORRECTIONAL CENTER,LAFAYETTE,LAFAYETTE,LA,70502,5,NOL,NOL,IGSA,IGSA,Yes,Female/Male,0,,0,5/18/06,6/8/86,1986,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
LAKCOMT,106 4TH AVENUE EAST POLSON MT,706,-114.1611,47.69187002,LAKE COUNTY JAIL,POLSON,LAKE,MT,59860,9,SLC,HEL,IGSA,IGSA,Yes,Female/Male,0,,0,8/4/09,1/14/05,2005,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
LAKEJCO,P.O. BOX 255/505 HARRISON AVE. LEADVILLE CO,707,-106.2917233,39.24811422,LAKE COUNTY JAIL,LEADVILLE,LAKE,CO,80461,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,6/28/07,5/8/92,1992,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
LANCACA,45100 60TH STREET WEST LANCASTER CA,856,-118.2366238,34.7019582,MIRA LOMA DETENTION CENTER,LANCASTER,LOS ANGELES,CA,93536,9,LOS,LOS,IGSA,DIGSA,Yes,Female/Male,"1,400",0%,0,10/30/12,10/12/92,1992,0,0,0,,,COUNTY,,1/29/97,NA,#VALUE!,NA,849 (GM): $154.08 (800-849) $145.41 (850-899) $137.69 (900-949) $130.79 (950 - 999) $124.58 (1000-1049) $118.96 (1050 - 1099) $113.86 (1100 - 1149) $109.19 (1150-1199) $104.92 (1200 - 1249) $100.98 (1250 - 1299) $97.35 (1300+),,NOT INSPECTED,DMCP,Over 72,,,No,Acceptable,Acceptable,8/31/11,,2007 and 2008 DEFICIENT,Yes,NO,NO,NO,No,,0
LANCANE,605 SOUTH 10TH STREET LINCOLN NE,710,-96.70764698,40.80756098,LANCASTER COUNTY JAIL,LINCOLN,LANCASTER,NE,68508,8,SPM,OMA,IGSA,IGSA,Yes,Female/Male,0,,0,7/9/03,2/27/92,1992,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
LANECOR,125 EAST 8TH AVENUE EUGENE OR,711,-123.09044,44.05155499,LANE COUNTY JAIL,EUGENE,LANE,OR,97401,9,SEA,POO,IGSA,IGSA,Yes,Female/Male,0,,0,2/19/09,4/23/91,1991,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,Good,At-Risk,10/16/08,,,No,NO,NO,NO,No,,0
LAPAZAZ,1109 ARIZONA AVE. PARKER AZ,700,-114.2899542,34.14625665,LA PAZ COUNTY ADULT DETENTION FACILITY,PARKER,LA PAZ,AZ,85344,9,PHO,FLO,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,10/24/17,8/23/05,2005,7,0,0,YES,COUNTY,COUNTY (SHERIFF),COUNTY,4/15/96,NA,#VALUE!,NA,$60.00 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Under 72,Local Standards,,No,Acceptable,,9/8/17,Acceptable,,Yes,NO,NO,NO,No,NONE,12
LAPEEMI,2408 GENESEE STREET LAPEER MI,712,-83.33382656,43.05047704,LAPEER COUNTY,LAPEER,LAPEER,MI,48446,6,DET,DET,IGSA,IGSA,Yes,Female/Male,0,,0,7/26/04,7/13/96,1996,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
LAPLACO,742 TURNER DRIVE DURANGO CO,701,-107.878301,37.24703798,LA PLATA COUNTY JAIL,DURANGO,FLOYD,CO,81303,10,DEN,DEN,USMS IGA,USMS IGA,Yes,Male,50,1%,0,11/1/17,1/28/92,1992,1,0,0,NO,,COUNTY (SHERIFF),COUNTY,6/1/06,NA,#VALUE!,NA,$65.00 ,,AUTHORIZED,DMCP,Under 72,Local Standards,,No,Acceptable,,9/8/17,Acceptable,,Yes,NO,NO,NO,No,NONE,9
LARCOWY,1910 PIONEER AVENUE CHEYENNE WY,713,-104.819854,41.13493901,LARAMIE COUNTY JAIL,CHEYENNE,LARAMIE,WY,82001,10,DEN,DEN,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,8/3/10,4/26/91,1991,0,0,0,,,COUNTY,,2/20/02,NA,#VALUE!,NA,$75.00 ,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Deficient,7/14/09,,2008 DEFICIENT,Yes,NO,NO,NO,No,,0
LARELKY,203 SOUTH BROAD ST. LONDON KY,723,-84.08373997,37.12745001,LAUREL COUNTY SHERIFFS JAIL,LONDON,LAUREL,KY,40741,6,CHI,CHI,IGSA,IGSA,Yes,Female/Male,0,,0,5/26/05,12/29/99,1999,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
LARIMCO,2405 MIDPOINT DRIVE FORT COLLINS CO,716,-105.033188,40.564372,LARIMER COUNTY JAIL,FORT COLLINS,LARIMER,CO,80525,10,DEN,DEN,USMS IGA,USMS IGA,Yes,Female/Male,5,0%,0,3/29/14,11/27/90,1990,0,0,0,NO,,COUNTY (SHERIFF),COUNTY,8/1/02,NA,#VALUE!,NA,$75.00 ,,NOT INSPECTED,DMCP,Under 72,,,No,Acceptable,Not Rated,8/7/13,,,No,YES,YES,YES,No,,0
LASALTX,703 N MAIN STREET COTULLA TX,722,-99.23631998,28.44250001,LASALLE COUNTY JAIL,COTULLA,LA SALLE,TX,78014,5,SNA,SNA,Other,Other,Yes,Female/Male,0,,0,3/30/14,12/9/93,1993,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
LASANCO,2309 EAST MAIN STREET TRINIDAD CO,718,-104.4855884,37.18009959,LAS ANIMAS COUNTY JAIL,TRINIDAD,LAS ANIMAS,CO,81082,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,4/11/10,3/19/97,1997,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Over 72,,,No,,,,,,No,NO,NO,NO,No,,0
LASWOCA,9000 COTTONWOOD AVENUE SANTEE CA,719,-116.9736064,32.84129812,LAS COLINAS WOMEN'S DETENTION FACILITY,SANTEE,SAN DIEGO,CA,92071,9,SND,SND,IGSA,IGSA,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
LAWREPA,111 SOUTH MILTON STREET NEW CASTLE PA,725,-80.33734499,40.999948,LAWRENCE COUNTY CORRECTIONS,NEW CASTLE,LAWRENCE,PA,16101,3,PHI,PIT,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,12/5/12,10/3/03,2003,0,0,0,,,COUNTY,,9/3/99,NA,#VALUE!,NA,$24.71 ,,NOT INSPECTED,DMCP,Under 72,,,No,Acceptable,At-Risk,1/5/11,,,No,NO,NO,NO,No,,0
LAWRESD,80 SHERMAN STREET DEADWOOD SD,724,-103.7292237,44.37473132,LAWRENCE COUNTY,DEADWOOD,LAWRENCE,SD,57732,8,SPM,SPM,IGSA,IGSA,Yes,Female/Male,0,,0,5/31/09,10/29/97,1997,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Deficient,7/10/08,,2007 and 2008 DEFICIENT,No,NO,NO,NO,No,,0
LBKHOLD,1205 TEXAS AVE SUITE 605 LUBBOCK TX,767,-101.844981,33.58403498,LUBBOCK HOLD ROOM,LUBBOCK,LUBBOCK,TX,79401,5,DAL,DAL,Other,HOLD,Yes,Male,0,,0,6/2/17,4/26/14,2014,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
LDFHOLD,350 E. 7TH STREET LOVELAND CO,763,-105.072299,40.398261,LOVELAND HOLDROOM,LOVELAND,LARIMER,CO,80537,10,DEN,DEN,Other,HOLD,Yes,Female/Male,0,,0,1/30/11,1/28/11,2011,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
LEACONM,1401 SOUTH COMMERCIAL STREET LOVINGTON NM,726,-103.33913,32.93417999,LEA COUNTY DETENTION CENTER,LOVINGTON,LEA,NM,88260,10,ELP,EPC,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,4/18/17,7/21/07,2007,0,0,0,NO,,COUNTY (COMMISSIONERS),COUNTY,6/6/01,6/6/21,2021,NA,$65.50 ,,NOT INSPECTED,DMCP,Under 72,,,No,Acceptable,Not Rated,9/4/13,,,No,NO,NO,NO,No,,0
LEECJIL,122 W. 3RD STREET DIXON IL,728,-89.4821664,41.84155529,LEE COUNTY JAIL,DIXON,LEE,IL,61021,7,CHI,CHI,IGSA,IGSA,Yes,Female/Male,0,,0,7/25/06,2/22/88,1988,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
LEECOTX,424 SOUTH MAIN STREET GIDDINS TX,729,-96.93779501,30.17991498,LEE COUNTY JAIL,GIDDINS,GIDDINS,TX,78942,5,SNA,SNA,IGSA,IGSA,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
LEHIGPA,38 N 4TH ST ALLENTOWN PA,730,-75.46594837,40.60495021,LEHIGH COUNTY JAIL (PENNSYLVANIA),ALLENTOWN,LEHIGH,PA,18102,3,PHI,PHI,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,6/5/07,12/9/86,1986,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Acceptable,2/7/07,,,No,NO,NO,NO,No,,0
LEWISMT,221 BRECKENRIDGE STREET HELENA MT,733,-112.036738,46.58629301,LEWIS & CLARK COUNTY JAIL,HELENA,LEWIS AND CLARK,MT,59601,9,SLC,HEL,IGSA,IGSA,Yes,Male,0,,0,9/29/16,1/22/91,1991,0,0,0,NO,,COUNTY,,NA,NA,#VALUE!,NA,$57.86 ,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Acceptable,3/26/07,,,No,NO,NO,NO,No,,0
LEWISNY,5252 OUTER STOWE STREET LOWVILLE NY,734,-75.49957502,43.778495,LEWIS COUNTY JAIL,LOWVILLE,LEWIS,NY,13367,2,BUF,BUF,IGSA,IGSA,Yes,Female/Male,0,,0,7/16/12,8/9/98,1998,0,0,0,YES,,COUNTY,,NA,NA,#VALUE!,NA,$65.00 ,,NOT INSPECTED,DMCP,Under 72,,,No,Good,Deficient,8/22/07,,,No,NO,NO,NO,No,,0
LEXINSC,521 GIBSON ROAD LEXINGTON SC,736,-81.25044597,33.97926099,LEXINGTON COUNTY JAIL,LEXINGTON,LEXINGTON,SC,29072,4,ATL,CHL,USMS IGA,USMS IGA,Yes,Male,28,4%,0,11/1/17,12/7/10,2010,7,0,1,YES,CORRECT CARE SOLUTIONS,COUNTY (SHERIFF),COUNTY,10/1/10,NA,#VALUE!,NA,$60.81 ,,AUTHORIZED,DMCP,Under 72,Local Standards,,No,Acceptable,,9/15/17,Acceptable,,No,NO,YES,NO,No,NONE,17
LIMESTX,910 NORTH TYUS STREET GROESBECK TX,738,-96.51470302,31.52751199,LIMESTONE COUNTY DETENTION CENTER,GROESBECK,LIMESTONE,TX,76642,5,SNA,AUS,USMS IGA,USMS IGA,Yes,Female/Male,5,0%,0,7/13/13,7/19/91,1991,0,0,0,,,COUNTY,COUNTY,7/31/07,NA,#VALUE!,NA,$65.35 ,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Over 72,,,Yes,Special Review - Pre-Occupancy,,4/25/13,,,No,NO,NO,NO,No,,0
LINCOCO,BOX 10 103 3RD AVENUE HUGO CO,742,-103.4728846,39.13185805,LINCOLN COUNTY JAIL,HUGO,LINCOLN,CO,80821,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,6/27/07,1/25/97,1997,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
LINCOME,P.O. BOX 611 WISCASSETT ME,743,-69.66617,44.00294,LINCOLN COUNTY JAIL,WISCASSETT,LINCOLN,ME,4578,1,BOS,POM,IGSA,IGSA,Yes,Female/Male,0,,0,1/22/06,8/11/03,2003,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
LINCOMO,65 BUSINESS PARK DRIVE TROY MO,739,-90.96279003,38.97218,LINCOLN COUNTY DETENTION CENTER,TROY,LINCOLN,MO,63379,8,CHI,STL,IGSA,IGSA,Yes,Female/Male,0,,6,11/4/17,2/28/00,2000,9,4,3,YES,COUNTY,COUNTY (SHERIFF),COUNTY,11/3/99,NA,#VALUE!,NA,$50.00 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,NDS,,No,Acceptable,,9/5/17,Acceptable,2008 DEFICIENT,Yes,NO,NO,NO,No,NONE,30
LINCONE,3020 N JEFFERS NORTH PLATTE NE,741,-100.7640672,41.10702221,LINCOLN COUNTY JAIL,NORTH PLATTE,LINCOLN,NE,69101,8,SPM,OMA,IGSA,IGSA,Yes,Female/Male,0,,0,10/2/03,8/24/92,1992,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
LINCOWY,1032 BEECH AVENUE KEMMERER WY,740,-110.5405794,41.79145976,LINCOLN COUNTY JAIL,KEMMERER,JASPER,WY,83101,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,3/5/08,12/14/07,2007,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
LINNCOR,1115 JACKSON STREET SOUTHEAST ALBANY OR,745,-123.096998,44.63000701,LINN CO JAIL,ALBANY,LINN,OR,97322,9,SEA,EUG,IGSA,IGSA,Yes,Female/Male,0,,0,6/2/15,2/28/91,1991,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,$66.00 ,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
LINNJIA,53 3RD AVENUE BRIDGE CEDAR RAPIDS IA,746,-91.66921113,41.9746498,LINN COUNTY JAIL,CEDAR RAPIDS,LINN,IA,52401,8,SPM,OMA,USMS IGA,USMS IGA,Yes,Female/Male,25,39%,6,11/4/17,1/28/94,1994,15,6,4,YES,COUNTY,COUNTY (SHERIFF),COUNTY,12/13/99,NA,#VALUE!,NA,$64.70 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,NDS,,No,Acceptable,Acceptable,5/7/15,,,No,NO,NO,NO,No,NONE,35
LIRSJUV,700 LIGHT STREET BALTIMORE MD,770,-76.61331001,39.28079401,LUTHERAN IMMIGRATION AND REFERRAL SERVICES,BALTIMORE,BALTIMORE CITY,MD,21230,4,BAL,PHI,IGSA,JUVENILE,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,,,OTHER,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,JFRMU,,,,No,,,,,,No,NO,NO,NO,No,,0
LIVINNY,4 COURT STREET GENESEO NY,748,-77.81609908,42.8002278,LIVINGSTON COUNTY JAIL,GENESEO,LIVINGSTON,NY,14454,2,BUF,BUF,USMS IGA,USMS IGA,Yes,Female/Male,0,,10,11/4/17,11/22/96,1996,14,8,4,,,COUNTY (SHERIFF),COUNTY,3/1/17,NA,#VALUE!,NA,$100.00 ,,NOT INSPECTED,DMCP,Over 72,FPBDS,,No,,,,,,No,NO,NO,NO,No,,35
LKLNDLA,81 HILLSDALE DR. PINEVILLE LA,709,-92.41079351,31.30973466,LAKELAND NURSING HOME,PINEVILLE,RAPIDES,LA,71360,5,NOL,KRO,Other,HOSPITAL,No,Female/Male,0,,0,5/21/09,5/11/04,2004,0,0,0,,,HOSPITAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,NO,NO,NO,No,,0
LKWDSMN,808 2ND ST. SE BAUDETTE MN,708,-94.58638148,48.70972296,LAKE OF THE WOODS COUNTY JAIL,BAUDETTE,LAKE OF THE WOODS,MN,56623,8,SPM,SPM,IGSA,IGSA,Yes,Female/Male,0,,0,1/11/07,1/10/07,2007,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
LLUMCCA,11234 ANDERSON STREET LOMA LINDA CA,750,-117.2611746,34.04920048,LOMA LINDA UNIVERSITY MED CENTER,LOMA LINDA,SAN BERNARDINO,CA,92354,9,LOS,ADE,Other,HOSPITAL,No,Female/Male,0,,0,10/26/17,10/8/14,2014,1,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,,,,No,,4
LOGANCO,110 NORTH RIVERVIEW ROAD STERLING CO,749,-103.17848,40.62210002,LOGAN COUNTY JAIL,STERLING,LOGAN,CO,80751,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,11/15/07,9/27/90,1990,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
LONOKAR,3RD AND WRIGHT STREET LONOKE AR,753,-91.89802988,34.78604004,LONOKE COUNTY DETENTION,LONOKE,LONOKE,AR,72086,8,NOL,NOL,IGSA,IGSA,Yes,Female/Male,0,,0,12/19/04,2/11/98,1998,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
LONPDAR,203 W. FRONT STREET LONOKE AR,754,-91.90129234,34.78386026,LONOKE POLICE DEPARTMENT,LONOKE,LONOKE,AR,72086,8,NOL,FSA,IGSA,IGSA,Yes,Female/Male,0,,1,11/4/17,3/12/02,2002,11,1,1,NO,COUNTY,CITY,CITY,4/12/94,NA,#VALUE!,NA,$30.00 ,,AUTHORIZED,DMCP,Under 72,NDS,,No,Acceptable,,8/29/17,Acceptable,,Yes,NO,NO,NO,No,NONE,17
LOSCJCA,450 BAUCHET STREET LOS ANGELES CA,756,-118.230687,34.05859298,LOS ANGELES COUNTY JAIL,LOS ANGELES,LOS ANGELES,CA,90012,9,LOS,LOS,IGSA,IGSA,Yes,Female/Male,0,,0,11/24/13,10/22/80,1980,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
LOSHOLD,300 N. LOS ANGELES ST. RM B-18 SAN PEDRO CA,757,-118.239666,34.05421201,LOS ANGELES CUSTODY CASE,SAN PEDRO,LOS ANGELES,CA,90731,9,LOS,LOS,Other,HOLD,Yes,Female/Male,0,,1,11/4/17,1/1/83,1983,14,3,1,YES,IHSC,FEDERAL,,NA,NA,#VALUE!,NA,,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,35
LOSPACA,7285 QUILL DRIVE DOWNEY CA,760,-118.16336,33.93446898,LOS PADRINOS JUVENILE HALL,DOWNEY,LOS ANGELES,CA,90242,9,LOS,LOS,IGSA,JUVENILE,Yes,Female/Male,0,,0,4/6/03,1/8/98,1998,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,JFRMU,,,,No,,,,,,No,NO,NO,NO,No,,0
